series;frame_idx;beetle_idx;stage
seria_4;101;6;stage1
seria_4;110;1;stage1
seria_4;111;1;stage1
seria_4;115;1;stage1
seria_4;116;3;stage1
seria_4;118;1;stage1
seria_4;119;2;stage1
seria_4;122;3;stage1
seria_4;146;6;stage1
seria_4;171;11;stage1
seria_4;173;11;stage1
seria_4;16;15;stage1
seria_4;17;15;stage1
seria_4;18;16;stage1
seria_4;19;15;stage1
seria_4;21;15;stage1
seria_4;22;12;stage1
seria_4;22;15;stage1
seria_4;23;13;stage1
seria_4;24;9;stage1
seria_4;25;16;stage1
seria_4;25;9;stage1
seria_4;26;14;stage1
seria_4;38;12;stage1
seria_4;39;11;stage1
seria_4;49;1;stage1
seria_4;54;12;stage1
seria_4;60;12;stage1
seria_4;89;17;stage1
seria_4;120;3;stage1
seria_4;123;3;stage1
seria_4;174;9;stage1
seria_4;175;13;stage1
seria_4;177;8;stage1
seria_4;2;10;stage1
seria_4;3;7;stage1
seria_4;4;14;stage1
seria_4;8;13;stage1
seria_4;12;5;stage1
seria_4;13;5;stage1
seria_4;14;16;stage1
seria_4;22;1;stage1
seria_4;28;2;stage1
seria_4;39;5;stage1
seria_4;53;9;stage1
seria_4;54;13;stage1
seria_4;77;15;stage1
seria_4;102;4;stage1
seria_4;105;2;stage1
seria_4;114;6;stage1
seria_4;173;8;stage1
seria_4;176;8;stage1
seria_4;177;11;stage1
seria_4;177;9;stage1
seria_4;2;3;stage1
seria_4;32;6;stage1
seria_4;119;12;stage1
seria_4;4;8;stage1
seria_4;9;7;stage1
seria_4;10;5;stage1
seria_4;13;7;stage1
seria_4;16;14;stage1
seria_4;17;16;stage1
seria_4;18;17;stage1
seria_4;21;10;stage1
seria_4;33;12;stage1
seria_4;36;5;stage1
seria_4;36;9;stage1
seria_4;38;6;stage1
seria_4;39;7;stage1
seria_4;51;10;stage1
seria_4;53;10;stage1
seria_4;55;7;stage1
seria_4;60;16;stage1
seria_4;65;17;stage1
seria_4;75;17;stage1
seria_4;79;5;stage1
seria_4;85;3;stage1
seria_4;87;6;stage1
seria_4;90;10;stage1
seria_4;96;1;stage1
seria_4;99;2;stage1
seria_4;100;6;stage1
seria_4;151;15;stage1
seria_4;164;1;stage1
seria_4;165;3;stage1
seria_4;167;1;stage1
seria_4;168;17;stage1
seria_4;169;13;stage1
seria_4;5;11;stage1
seria_4;13;12;stage1
seria_4;17;4;stage1
seria_4;23;10;stage1
seria_4;32;3;stage1
seria_4;34;6;stage1
seria_4;36;2;stage1
seria_4;38;14;stage1
seria_4;81;16;stage1
seria_4;83;17;stage1
seria_4;124;15;stage1
seria_4;168;1;stage1
seria_4;5;7;stage1
seria_4;7;6;stage1
seria_4;14;10;stage1
seria_4;16;2;stage1
seria_4;17;8;stage1
seria_4;18;6;stage1
seria_4;22;2;stage1
seria_4;26;10;stage1
seria_4;28;6;stage1
seria_4;30;6;stage1
seria_4;43;6;stage1
seria_4;45;16;stage1
seria_4;55;10;stage1
seria_4;57;16;stage1
seria_4;60;8;stage1
seria_4;61;10;stage1
seria_4;61;8;stage1
seria_4;71;10;stage1
seria_4;103;11;stage1
seria_4;123;15;stage1
seria_4;135;6;stage1
seria_4;180;6;stage1
seria_4;182;7;stage1
seria_4;19;4;stage1
seria_4;32;9;stage1
seria_4;34;10;stage1
seria_4;37;10;stage1
seria_4;39;12;stage1
seria_4;41;14;stage1
seria_4;44;9;stage1
seria_4;45;11;stage1
seria_4;55;9;stage1
seria_4;94;15;stage1
seria_4;94;8;stage1
seria_4;95;8;stage1
seria_4;96;17;stage1
seria_4;113;4;stage1
seria_4;118;7;stage1
seria_4;119;9;stage1
seria_4;138;14;stage1
seria_4;144;15;stage1
seria_4;146;13;stage1
seria_4;147;16;stage1
seria_4;149;14;stage1
seria_4;150;16;stage1
seria_4;158;7;stage1
seria_4;161;6;stage1
seria_4;165;2;stage1
seria_4;180;4;stage1
seria_4;183;4;stage1
seria_4;185;11;stage1
seria_4;185;6;stage1
seria_4;13;10;stage1
seria_4;14;12;stage1
seria_4;28;1;stage1
seria_4;29;1;stage1
seria_4;30;5;stage1
seria_4;33;7;stage1
seria_4;34;11;stage1
